0	0.004	0.003
1	0.017	0.005
4	0.01	0.006
9	0.018	0.01
16	0.064	0.014
25	0.052	0.017
36	0.105	0.021
49	0.142	0.024
64	0.227	0.028
81	0.257	0.026
100	0.31	0.028
121	0.496	0.033
144	0.622	0.042
169	0.847	0.047
196	1.085	0.045
225	1.537	0.059
256	1.746	0.053
289	2.07	0.066
324	2.539	0.063
361	2.794	0.06
400	3.796	0.076
441	4.101	0.076
484	4.659	0.072
529	5.268	0.075
576	6.91	0.094
625	7.33	0.088
676	7.811	0.079
729	8.491	0.072
784	8.888	0.077
841	9.565	0.073
900	11.067	0.076
961	14.916	0.104
1024	14.59	0.085
1089	18.074	0.14
1156	18.785	0.115
1225	19.713	0.086
1296	21.924	0.246
1369	27.762	0.112
1444	25.802	0.101
1521	27.668	0.096
1600	32.22	0.111
1681	38.218	0.135
1764	39.826	0.177
1849	45.195	0.127
1936	49.347	0.129
2025	50.669	0.13
2116	52.135	0.119
2209	59.972	0.169
2304	60.115	0.117
2401	64.847	0.176
2500	70.843	0.152
2601	76.183	0.135
2704	87.402	0.167
2809	101.833	0.149
2916	105.741	0.202
