# Size	Naive	Linear
2	0.003	0.001
4	0.001	0
6	0.001	0.001
8	0.002	0.002
10	0.001	0
12	0.002	0.002
14	0.001	0
16	0.003	0.001
18	0.002	0.002
20	0.002	0.001
22	0.003	0.002
24	0.002	0.001
26	0.003	0.001
28	0.003	0.002
30	0.003	0.001
32	0.005	0.002
34	0.004	0.001
36	0.005	0.001
38	0.004	0.002
40	0.005	0.001
42	0.005	0.003
44	0.005	0.001
46	0.007	0.003
48	0.006	0.002
50	0.007	0.002
52	0.008	0.002
54	0.008	0.003
56	0.008	0.001
58	0.01	0.003
60	0.01	0.002
62	0.01	0.003
64	0.011	0.002
66	0.012	0.002
68	0.012	0.002
70	0.013	0.003
72	0.012	0.001
74	0.015	0.002
76	0.014	0.002
78	0.014	0.001
80	0.016	0.003
82	0.016	0.001
84	0.018	0.003
86	0.018	0.002
88	0.019	0.002
90	0.019	0.003
92	0.02	0.002
94	0.021	0.003
96	0.021	0.002
98	0.023	0.002
100	0.023	0.002
102	0.025	0.003
104	0.025	0.002
106	0.029	0.002
108	0.031	0.004
110	0.027	0.002
112	0.034	0.002
114	0.029	0.002
116	0.03	0.003
118	0.031	0.002
120	0.032	0.003
122	0.033	0.002
124	0.034	0.004
126	0.036	0.002
128	0.038	0.003
130	0.039	0.004
132	0.039	0.003
134	0.04	0.002
136	0.042	0.003
138	0.042	0.002
140	0.044	0.002
142	0.044	0.002
144	0.047	0.003
146	0.047	0.003
148	0.048	0.003
150	0.05	0.003
152	0.051	0.003
154	0.053	0.003
156	0.053	0.002
158	0.056	0.004
160	0.056	0.002
162	0.062	0.004
164	0.061	0.004
166	0.065	0.003
168	0.062	0.003
170	0.064	0.003
172	0.064	0.003
174	0.067	0.004
176	0.067	0.003
178	0.07	0.004
180	0.07	0.003
182	0.073	0.003
184	0.073	0.003
186	0.075	0.004
188	0.076	0.003
190	0.079	0.004
192	0.079	0.003
194	0.082	0.004
196	0.104	0.003
198	0.089	0.003
200	0.085	0.003
202	0.088	0.004
204	0.089	0.003
206	0.092	0.004
208	0.093	0.004
210	0.097	0.004
212	0.096	0.003
214	0.098	0.003
216	0.1	0.004
218	0.102	0.003
220	0.115	0.004
222	0.111	0.012
224	0.138	0.004
226	0.106	0.005
228	0.106	0.004
230	0.11	0.005
232	0.11	0.004
234	0.112	0.004
236	0.115	0.004
238	0.117	0.004
240	0.12	0.004
242	0.12	0.004
244	0.122	0.003
246	0.137	0.004
248	0.127	0.004
250	0.129	0.004
252	0.129	0.004
254	0.136	0.005
256	0.134	0.004
258	0.136	0.004
260	0.138	0.004
262	0.14	0.005
264	0.147	0.006
266	0.196	0.005
268	0.146	0.003
270	0.149	0.004
272	0.151	0.005
274	0.152	0.004
276	0.155	0.005
278	0.158	0.004
280	0.16	0.004
282	0.171	0.007
284	0.167	0.004
286	0.167	0.004
288	0.168	0.006
290	0.172	0.004
292	0.173	0.005
294	0.176	0.005
296	0.178	0.004
298	0.187	0.004
300	0.2	0.004
302	0.186	0.004
304	0.187	0.004
306	0.191	0.005
308	0.192	0.004
310	0.22	0.006
312	0.202	0.004
314	0.2	0.006
316	0.202	0.005
318	0.206	0.005
320	0.283	0.005
322	0.252	0.005
324	0.214	0.004
326	0.215	0.005
328	0.219	0.006
330	0.22	0.006
332	0.273	0.005
334	0.225	0.022
336	0.299	0.006
338	0.25	0.006
340	0.251	0.006
342	0.254	0.005
344	0.257	0.006
346	0.26	0.006
348	0.263	0.006
350	0.265	0.005
352	0.269	0.005
354	0.272	0.005
356	0.275	0.006
358	0.278	0.005
360	0.289	0.006
362	0.339	0.006
364	0.287	0.006
366	0.291	0.005
368	0.293	0.005
370	0.348	0.007
372	0.304	0.005
374	0.292	0.006
376	0.295	0.006
378	0.299	0.007
380	0.32	0.007
382	0.305	0.006
384	0.307	0.005
386	0.321	0.007
388	0.315	0.006
390	0.318	0.006
392	0.362	0.006
394	0.329	0.006
396	0.327	0.006
398	0.364	0.006
400	0.335	0.005
402	0.337	0.005
404	0.339	0.006
406	0.365	0.005
408	0.346	0.005
410	0.366	0.006
412	0.365	0.006
414	0.362	0.007
416	0.369	0.007
418	0.37	0.007
420	0.371	0.006
422	0.387	0.006
424	0.509	0.007
426	0.398	0.008
428	0.401	0.006
430	0.55	0.007
432	0.442	0.006
434	0.427	0.006
436	0.458	0.023
438	0.455	0.007
440	0.502	0.006
442	0.451	0.006
444	0.435	0.006
